Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
"ocdsignificantproblems"	"phone_screen"	""	"notes"	"Does the disorder cause you any significant problems?"	""	""	""			""	"[ocd] = '1'"	""	""		""		""
"psychmeds"	"phone_screen"	""	"notes"	"Do you take any other psychiatric medications? Please list them"	""	""	""			""	""	""	""		""		""
"psychmedstart"	"phone_screen"	""	"notes"	"For each psych med ask when they started taking medication\n\n(If less than 2 months ago, exclude)"	""	""	""			""	""	""	""		""		""
"newpsychmed"	"phone_screen"	""	"yesno"	"<div class=\"rich-text-field-label\"><p>Do you have any plans to start new psychiatric medications in the next few months?<br /><br /><span style=\"font-weight: normal;\"><em>Possibly exclude is yes, ask if willing to wait until end of study.</em></span></p></div>"	""	""	""			""	""	""	""		""		""
"healthprofdrugprob"	"phone_screen"	"Drugs/Alcohol\n\nIn this section, we are interested in learning about all alcohol and drug use. For the purposes of this screen, this includes medicinal marijuana and prescription medications other than those prescribed to you.\n"	"dropdown"	"Has a health professional told you that you have a problem with drug/alcohol use?\n\n"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"probsubstanceswhich"	"phone_screen"	""	"notes"	"If yes, which substances?"	""	""	""			""	"[healthprofdrugprob] = '1'"	""	""		""		""
"expressconcern"	"phone_screen"	""	"notes"	"When did the professional express concern?"	""	""	""			""	"[healthprofdrugprob] = '1'"	""	""		""		""
"frequencyamount"	"phone_screen"	""	"notes"	"At that time, how often were you taking the substance, and how much?"	""	""	""			""	"[healthprofdrugprob] = '1'"	""	""		""		""
"howlong"	"phone_screen"	""	"notes"	"How long were you taking that amount of the substance at that frequency?"	""	""	""			""	"[healthprofdrugprob] = '1'"	""	""		""		""
"substancesigprob"	"phone_screen"	""	"notes"	"Has the substance caused significant problems for you?"	""	""	""			""	"[healthprofdrugprob] = '1'"	""	""		""		""
"probwithdrugtreatment"	"phone_screen"	""	"notes"	"Did you receive or seek medical treatment for this issue?"	""	""	""			""	"[healthprofdrugprob] = '1'"	""	""		""		""
"concerned"	"phone_screen"	""	"dropdown"	"Have you ever been concerned with your use of drugs or alcohol, or felt that you wanted to cut down?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"probsubstanceswhich2"	"phone_screen"	""	"notes"	"If yes, which substances?"	""	""	""			""	"[concerned] = '1'"	""	""		""		""
"feelconcerned"	"phone_screen"	""	"notes"	"When did you start to feel concerned?"	""	""	""			""	"[concerned] = '1'"	""	""		""		""
"frequencyamount2"	"phone_screen"	""	"notes"	"At that time, how often were you taking the substance, and how much?"	""	""	""			""	"[concerned] = '1'"	""	""		""		""
"howlong2"	"phone_screen"	""	"notes"	"How long were you taking that amount of the substance at that frequency?"	""	""	""			""	"[concerned] = '1'"	""	""		""		""
"substancesigprob2"	"phone_screen"	""	"notes"	"Has the substance caused significant problems for you?"	""	""	""			""	"[concerned] = '1'"	""	""		""		""
"probwithdrugtreatment2"	"phone_screen"	""	"notes"	"Did you receive or seek medical treatment for this issue?"	""	""	""			""	"[concerned] = '1'"	""	""		""		""
"drugs"	"phone_screen"	""	"yesno"	"Have you ever used: marijuana, cocaine, heroin, amphetamines, or prescription drugs without a prescription?"	""	""	""			""	""	""	""		""		""
"druginfo"	"phone_screen"	""	"notes"	"If yes: \n\n1.) Have you used the substance in the past 3 months?\n2.) When did you use it in the past and for how long?\n3.) How much do you or did you use?\n4.) Does it cause you any difficulties?"	""	""	""			""	"[drugs] = '1'"	""	""		""		""
"investigationaltrial"	"phone_screen"	"Administrative: In this section we will ask you some administrative questions."	"dropdown"	"Have you participated in an investigational trial in the past 6 months?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"shareinfowithotherprograms"	"phone_screen"	""	"dropdown"	"Is it okay to share all of the information collected from this phone screen with other research programs who may wish to contact you about enrolling in their studies?"	"1, Yes | 2, No | 3, Declined to answer"	""	""			""	""	""	""		""		""
"notes"	"phone_screen"	"End Screen:\n\nSo this concludes the phone screen. Thank you so much for taking the time to answer these questions. What happens now is I will give the phone screen to our research team and they will review it to determine your eligibility. If you are eligible, we will call you to schedule you for the study. Do you have any questions for me?"	"notes"	"Notes"	""	""	""			""	""	""	""		""		""
"eligibility"	"phone_screen"	""	"dropdown"	"Eligibility"	"1, Not screened yet | 2, Not eligible | 3, Eligible | 4, Not sure | 5, Other"	""	""			""	""	""	""		""		""
"eligible_other"	"phone_screen"	""	"notes"	"Notes (other)"	""	""	""			""	"[eligibility] = '5' or [eligibility] = '4'"	""	""		""		""
"maiascoring"	"maia_scoring"	""	"descriptive"	"MAIA Scoring"	""	""	""			""	""	""	""		""		""
"maia_noticing"	"maia_scoring"	""	"calc"	"noticing subscale"	"mean([maia_1],[maia_2],[maia_3],[maia_4])"	""	""			""	""	""	""		""		""
"maia_notdistract"	"maia_scoring"	""	"calc"	"not-distracting subscale"	"mean((5-[maia_5]),(5-[maia_6]),(5-[maia_7]),(5-[maia_8]), (5-[maia_9]),(5-[maia_10]))"	""	""			""	""	""	""		""		""
"maia_notworry"	"maia_scoring"	""	"calc"	"not worrying subscale"	"mean((5-[maia_11]),(5-[maia_12]),([maia_13]),([maia_14]),(5-[maia_15]))"	""	""			""	""	""	""		""		""
"maia_attentionreg"	"maia_scoring"	""	"calc"	"attention regulation"	"mean([maia_16],[maia_17],[maia_18],[maia_19], [maia_20], [maia_21], [maia_22])"	""	""			""	""	""	""		""		""
"maia_emotionalaware"	"maia_scoring"	""	"calc"	"emotional awareness"	"mean([maia_23], [maia_24],[maia_25],[maia_26], [maia_27])"	""	""			""	""	""	""		""		""
"maia_selfreg"	"maia_scoring"	""	"calc"	"self-regulation"	"mean([maia_28], [maia_29],[maia_30],[maia_31])"	""	""			""	""	""	""		""		""
"maia_bodylisten"	"maia_scoring"	""	"calc"	"body listening"	"mean([maia_32], [maia_33],[maia_34])"	""	""			""	""	""	""		""		""
"maia_trusting"	"maia_scoring"	""	"calc"	"trusting"	"mean([maia_35], [maia_36],[maia_37])"	""	""			""	""	""	""		""		""
"maia_total"	"maia_scoring"	""	"calc"	"maia total"	"([maia_noticing]+ [maia_notdistract]+ [maia_notworry]+ [maia_attentionreg]+[maia_emotionalaware]+ [maia_selfreg]+ [maia_bodylisten]+ [maia_trusting])/8"	""	""			""	""	""	""		""		""
"weeklycall_intro"	"week_1_call"	""	"descriptive"	"Hi <name>,\nThis is <name> from UCSF for the Mind your Pain study. Thank you for being in our study. I am calling you to hear how you are doing and how you are with the attention practice.\n"	""	""	""			""	""	""	""		""		""
"date"	"week_1_call"	""	"text"	"Date"	""	""	"date_mdy"			""	""	""	""		""		""
"generalimpression"	"week_1_call"	""	"notes"	"1) Just more in general: what is your overall impression/ how is your experience with the app?"	""	""	""			""	""	""	""		""		""
"techissues_yn"	"week_1_call"	""	"yesno"	"2) Are there any issues with the technology of the app? \t"	""	""	""			""	""	""	""		""		""
"techissues_details"	"week_1_call"	""	"notes"	"2a) if 'yes', what kind of issues:"	""	"Maybe guide participant to a simple solution or-if not possible-let PI know by text and/or e-mail."	""			""	"[techissues_yn] = '1'"	""	""		""		""
"plainapp"	"week_1_call"	""	"notes"	"3) We are aware that the app is kind of plain, not super-exciting, very repetitive. How are you dealing with that?"	""	""	""			""	""	""	""		""		""
"sensing_yn"	"week_1_call"	""	"yesno"	"4) Are you able to focus on SENSING a sensation with its details and characteristics in the present moment, (as your current truth), instead of repeating familiar thoughts and feelings about pain and its past, future, or how it \"generally\" is?\t"	""	""	""			""	""	""	""		""		""
"sensing_details"	"week_1_call"	""	"notes"	"Any details?   "	""	""	""			""	""	""	""		""		""
"barriers_yn"	"week_1_call"	""	"yesno"	"5) Did you encounter any barriers about using the app during the day?\t"	""	""	""			""	""	""	""		""		""
"barriers_details"	"week_1_call"	""	"notes"	"5a) If 'yes', what are they?"	""	""	""			""	"[barriers_yn] = '1'"	""	""		""		""
"tricks_yn"	"week_1_call"	""	"yesno"	"6) Did you find any tricks that make it easier for you to use the app?"	""	""	""			""	""	""	""		""		""
"tricks_details"	"week_1_call"	""	"notes"	"6a) If 'yes', what are they?"	""	""	""			""	"[tricks_yn] = '1'"	""	""		""		""
"majorchanges_yn"	"week_1_call"	""	"yesno"	"7) In the past week, have there been any major changes in your health, your work, your social or private life?"	""	"(that would include accidents, much worse pain, dramatic emotional events, such as death of a dear one, weddings, falling in love, Nobel price ...; because these would change the pain sensation)"	""			""	""	""	""		""		""
"majorchanges_details"	"week_1_call"	""	"notes"	"7a) If 'yes', what are they?"	""	""	""			""	"[majorchanges_yn] = '1'"	""	""		""		""
"questions_yn"	"week_1_call"	""	"yesno"	"Thank you, <name>, that is all I would like to know. I will call you again in a week (or 2 if PI calls next week) to see how you are doing.\nDo YOU have any other questions for me or Dr. Mehling?\n"	""	""	""			""	""	""	""		""		""
"questions_details"	"week_1_call"	""	"notes"	"If yes please note: "	""	""	""			""	"[questions_yn] = '1'"	""	""		""		""
"thankyou"	"week_1_call"	""	"descriptive"	"Again, thank you for being in our study. You are contributing to the science of pain."	""	""	""			""	""	""	""		""		""
