StartDate	EndDate	Progress	Duration(inseconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	Q29	Q26	Q1	Q2	Q3	Q4	Q5	Q55TEXT	Q7	Q75TEXT	Q11	Q113TEXT	Q114TEXT	Q115TEXT	Q9	Q93TEXT	Q15	Q156TEXT	Q17	Q173TEXT	Q174TEXT	Q20	Q21	Q22	Q23	Q24	Q25
"44033.59375"	"44033.594444444447"	"100"	"41"	"1"	"44033.594444444447"	"R_2QYDwfIhOqwK5EH"	"anonymous"	"EN"	"I consent"	"7972 E"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.594444444447"	"44033.595833333333"	"100"	"126"	"1"	"44033.595833333333"	"R_3dQgvEKwHNh4AHV"	"anonymous"	"EN"	"I consent"	"5656l"	"Yes"	">1 year"	"45720"	"45981"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Low"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Dayton's Children"	"Yes"	""	""	"A little bit"	"Knowing some medical terminology"	"A fair amount"	"Knowing how to interact with patients"	"A fair amount"	""
"44033.593055555553"	"44033.59652777778"	"100"	"243"	"1"	"44033.59652777778"	"R_2f0BuRzsJNunYAu"	"anonymous"	"EN"	"I consent"	"6021L"	"Yes"	"3-6 months"	"5 or more"	"31-40"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Middle"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"St. Luke's in Milwaukee WI"	"Unsure (please specify)"	"I don't think I had it on my application "	""	"Very helpful"	"I already knew how to write notes, have some clinical experience, could recognize certain drugs, etc"	"Very helpful"	"Already have an idea of how the ER works and how to get a gestalt of how sick someone is or what the next step in management will likely be"	"Very helpful"	""
"44033.606944444444"	"44033.609722222223"	"100"	"235"	"1"	"44033.609722222223"	"R_2YxNABdJuz8slil"	"anonymous"	"EN"	"I consent"	"0602E"	"Yes"	"7-12 months"	"5 or more"	"31-40"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"ScribeMD"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Promedica Toledo Hospital"	"Yes"	""	""	"A little bit"	"I knew how to pronounce drug names correctly. "	"Very helpful"	"I am much more competent than my peers at writing SOAP notes"	"A fair amount"	""
"44033.628472222219"	"44033.629861111112"	"100"	"99"	"1"	"44033.629861111112"	"R_1DCrr4nLNHqw3hC"	"anonymous"	"EN"	"I consent"	"4214J"	"Yes"	">1 year"	"5 or more"	">40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Emergency"	""	""	""	"Other (please describe)"	"Emergency services Inc"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Mount caramel "	"Yes"	""	""	"A fair amount"	""	"Very helpful"	""	"Very helpful"	""
"44033.633333333331"	"44033.635416666664"	"100"	"136"	"1"	"44033.635416666664"	"R_12axc3DUpPosSqv"	"anonymous"	"EN"	"I consent"	"0441M"	"Yes"	">1 year"	"5 or more"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"High"	""	"Specialty Medicine (please specify)"	""	""	"Dermatology"	"Other (please describe)"	"Private Practice"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Private Practice in Columbus"	"Yes"	""	""	"Extremely helpful"	"medical terminology, background medical knowledge. Exc."	"Extremely helpful"	"Better understanding of a medical practice and the interworkings of a medical practice"	"Extremely helpful"	""
"44033.671527777777"	"44033.672222222223"	"100"	"69"	"1"	"44033.672222222223"	"R_3nd5kN0Zn6Wz1JI"	"anonymous"	"EN"	"I consent"	"2905E"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.70416666667"	"44033.70416666667"	"100"	"22"	"1"	"44033.70416666667"	"R_1OkSv4BVLO1hacz"	"anonymous"	"EN"	"I consent"	"7505M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.826388888891"	"44033.828472222223"	"100"	"188"	"1"	"44033.828472222223"	"R_241235GFzJCGEB2"	"anonymous"	"EN"	"I consent"	"2715m"	"Yes"	">1 year"	"45720"	"45981"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Specialty Surgery (please specify)"	"Trauma"	""	""	"Scribe America"	""	"MetroHealth, main campus"	""	"Yes"	""	""	"A fair amount"	"Understood the terminology already, was equipped for note writing and understanding the SOAP format."	"A little bit"	"Understand how the hospital floors work, understand the work flow "	"A little bit"	""
"44033.863888888889"	"44033.863888888889"	"100"	"28"	"1"	"44033.864583333336"	"R_3sdHqveztCnK4Tf"	"anonymous"	"EN"	"I consent"	"3529 T"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44035.825694444444"	"44035.84097222222"	"100"	"1345"	"1"	"44035.84097222222"	"R_1Muxn3oiguF0L7P"	"anonymous"	"EN"	"I consent"	"3042T"	"Yes"	"7-12 months"	"45720"	"31-40"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Low"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Trumbull Regional Medical Center "	"Yes"	""	""	"A little bit"	"It has provided me with clinical experience to reference while learning the foundations in medical science."	"A little bit"	"As a prior medical scribe, I felt more comfortable with the transition to having personal patient encounters than I think I would have been without scribing experience."	"A fair amount"	"I feel that having medical scribing experience prior to medical school allowed me to see the interworking of the hospital system and learn from and interact with dozens of physicians. It has allowed me to not only gain clinical experience, but to continuously grow my confidence with using EMR for medical documentation."
"44036.239583333336"	"44036.240277777775"	"100"	"35"	"1"	"44036.240277777775"	"R_cPcVSIp3cK7H0rf"	"anonymous"	"EN"	"I consent"	"4863rae"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44036.638194444444"	"44036.63958333333"	"100"	"146"	"1"	"44036.63958333333"	"R_2e232DdIKvblDoi"	"anonymous"	"EN"	"I consent"	"9319J"	"Yes"	"7-12 months"	"0-2"	"45981"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Low"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"CAEP"	"Yes"	""	""	"A fair amount"	"Understanding medical diction, medical decision making, familiarity with diseases and illnesses"	"A fair amount"	"Ability to interact with patients based on history of observing multiple patient encounters a day"	"A fair amount"	""
"44037.578472222223"	"44037.580555555556"	"100"	"203"	"1"	"44037.580555555556"	"R_272vnKRmBmkyxrT"	"anonymous"	"EN"	"I consent"	"7329H"	"Yes"	">1 year"	"45720"	"0-10"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Specialty Medicine (please specify)"	""	""	"Psychiatry"	"Other (please describe)"	"Independent, not paid"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Private practice"	"Yes"	""	""	"A fair amount"	"SOAP notes are easier to complete during OCSEs"	"A little bit"	"It has been easier to ask the right questions when interviewing patients in CCEs"	"Very helpful"	""
"44039.744444444441"	"44039.746527777781"	"100"	"169"	"1"	"44039.746527777781"	"R_3FVRRZTUPvMFJua"	"anonymous"	"EN"	"I consent"	"3221W"	"Yes"	">1 year"	"5 or more"	"45981"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"Private Group"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"UH Elyria, UH Amherst, UH Avon"	"Yes"	""	""	"Extremely helpful"	"Knowing what labs to order or which tests are hard to get such as MRI. Familiarity with terminology and note writing, familiarity with patient encounters in the ED. "	"Extremely helpful"	"See above, helps with interaction experience and knowing which labs to order etc. "	"Extremely helpful"	""
"44033.486111111109"	"44033.486111111109"	"11"	"4"	"0"	"44040.486111111109"	"R_20Sy8lYNPnOeMmY"	"anonymous"	"EN"	"I consent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.490277777775"	"44033.490277777775"	"21"	"46"	"0"	"44040.490277777775"	"R_29fSrW0QpBHqOQB"	"anonymous"	"EN"	"I consent"	"0677 E"	"Yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.510416666664"	"44033.510416666664"	"21"	"23"	"0"	"44040.511111111111"	"R_10CKLLeibBLmzOu"	"anonymous"	"EN"	"I consent"	"5836N"	"Yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.563888888886"	"44033.569444444445"	"63"	"463"	"0"	"44040.569444444445"	"R_1Kx6zcicuczogKg"	"anonymous"	"EN"	"I consent"	"0237 C"	"Yes"	"7-12 months"	"5 or more"	"31-40"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Mixed"	""	"Specialty Medicine (please specify)"	""	""	"Dermatology "	"Scribe America"	""	"MetroHealth, main campus,Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"MetroHealth satellite clinic  "	""	""	""	""	""	""	""	""	""
"44033.686111111114"	"44033.6875"	"63"	"101"	"0"	"44040.689583333333"	"R_1f7xCHQkcpzOA3z"	"anonymous"	"EN"	"I consent"	"7995c"	"Yes"	">1 year"	"45720"	"31-40"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Mixed"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Trumbull memorial hospital "	""	""	""	""	""	""	""	""	""
"44047.536805555559"	"44047.537499999999"	"100"	"25"	"1"	"44047.537499999999"	"R_1irqLQAnq5nm0uK"	"anonymous"	"EN"	"I consent"	"3227A"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.538194444445"	"44047.538888888892"	"100"	"30"	"1"	"44047.538888888892"	"R_3e9XbtVc6lYq0rM"	"anonymous"	"EN"	"I consent"	"5951 G"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.541666666664"	"44047.542361111111"	"100"	"55"	"1"	"44047.542361111111"	"R_2zwsKRhxRh98QzL"	"anonymous"	"EN"	"I consent"	"7304l"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.544444444444"	"44047.545138888891"	"100"	"31"	"1"	"44047.545138888891"	"R_UKncEVGJwpAOXPr"	"anonymous"	"EN"	"I consent"	"3694D"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.546527777777"	"44047.54791666667"	"100"	"164"	"1"	"44047.54791666667"	"R_2YWFgudgn9lTSQj"	"anonymous"	"EN"	"I consent"	"0747c"	"Yes"	"7-12 months"	"5 or more"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Specialty Surgery (please specify)"	"Transplant Surgery"	""	""	"Scribe America"	""	"University Hospitals, main campus"	""	"Yes"	""	""	"A fair amount"	"I am anticipating it will be helpful in knowing certain medical terminology, mechanical processes, and the construction of the HPI/rest of the medical visit note. I am an incoming OMS-I"	"N/A, no clinical experience including CCE"	""	"Very helpful"	""
"44047.552083333336"	"44047.552777777775"	"100"	"40"	"1"	"44047.552777777775"	"R_2wmg7Ysu4oTMSo2"	"anonymous"	"EN"	"I consent"	"4952S"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.553472222222"	"44047.554861111108"	"100"	"148"	"1"	"44047.554861111108"	"R_2atdQyEk3sY1ypk"	"anonymous"	"EN"	"I consent"	"3381 N/A"	"Yes"	">1 year"	"45720"	"21-30"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Emergency"	""	""	""	"Other (please describe)"	"IscribeMD"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"ProMedica"	"Yes"	""	""	""	""	""	""	""	""
"44047.554166666669"	"44047.556250000001"	"100"	"164"	"1"	"44047.556250000001"	"R_1KeVLj5tjYuBiXR"	"anonymous"	"EN"	"I consent"	"1118M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.558333333334"	"44047.559027777781"	"100"	"71"	"1"	"44047.559027777781"	"R_3MyQhiRogvSRe6m"	"anonymous"	"EN"	"I consent"	"6397 R"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.557638888888"	"44047.559027777781"	"100"	"121"	"1"	"44047.559027777781"	"R_2EcmoNhmuIoK5Ah"	"anonymous"	"EN"	"I consent"	"8953 c"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.560416666667"	"44047.560416666667"	"100"	"29"	"1"	"44047.560416666667"	"R_RaSsfOB5Jo3JPl7"	"anonymous"	"EN"	"I consent"	"2129h"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.56527777778"	"44047.56527777778"	"100"	"32"	"1"	"44047.56527777778"	"R_1C75SzhKRmIOXt0"	"anonymous"	"EN"	"I consent"	"3053A"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.56527777778"	"44047.568055555559"	"100"	"258"	"1"	"44047.568055555559"	"R_1NzbMNw944YGtdc"	"anonymous"	"EN"	"I consent"	"2487E"	"Yes"	"7-12 months"	"45720"	"21-30"	"Outer Suburb >10,000 (e.g. Cleveland: Shaker Heights, Beachwood, Westlake)"	""	"Mixed"	""	"Specialty Surgery (please specify)"	"Ophthalmology "	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"The Cleveland Clinic, Cole Eye Institute Beachwood Office "	"Unsure (please specify)"	"I scribed during my application year, so unless I was interviewed by the school I was unable to speak about my scribing on my applications. It may have influenced decisions about my interviews, however. "	""	""	"N/a because I haven't had medical education since being a scribe "	""	"Not sure yet"	"Very helpful"	"I am interested to see how it helps especially with navigating health records like EPIC because I now know them like the back of my hand. "
"44047.566666666666"	"44047.568749999999"	"100"	"169"	"1"	"44047.568749999999"	"R_3rU4cVsfXxfcol0"	"anonymous"	"EN"	"I consent"	"8285R"	"Yes"	">1 year"	"45720"	"45981"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Middle"	""	"Emergency"	""	""	""	"Other (please describe)"	"Vituity "	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Trinity health"	"Yes"	""	""	""	""	"N/A, no clinical experience including CCE"	""	"Extremely helpful"	""
"44047.574305555558"	"44047.576388888891"	"100"	"169"	"1"	"44047.576388888891"	"R_3htm2EMC8ePsqE3"	"anonymous"	"EN"	"I consent"	"4053R"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.576388888891"	"44047.576388888891"	"100"	"33"	"1"	"44047.576388888891"	"R_2rZLJGDx52xSVef"	"anonymous"	"EN"	"I consent"	"1690D"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.576388888891"	"44047.581250000003"	"100"	"437"	"1"	"44047.581250000003"	"R_4GfxhgsZqeiRdLz"	"anonymous"	"EN"	"I consent"	"0261k"	"Yes"	">1 year"	"0-2"	"45981"	"Outer Suburb >10,000 (e.g. Cleveland: Shaker Heights, Beachwood, Westlake)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"Iscribe"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"promedica"	""	""	""	"A fair amount"	"via certain terms you learn"	"N/A, no clinical experience including CCE"	""	"A little bit"	""
"44047.581250000003"	"44047.581250000003"	"100"	"37"	"1"	"44047.581250000003"	"R_V44nT1inSGdoJsB"	"anonymous"	"EN"	"I consent"	"3027l"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44047.62222222222"	"44047.624305555553"	"100"	"189"	"1"	"44047.624305555553"	"R_CfynpXKNkoZFIMp"	"anonymous"	"EN"	"I consent"	"0814J"	"Yes"	">1 year"	"45720"	"21-30"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Middle"	""	"Primary Care (please specify)"	""	"Family medicine"	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Hallmark Health (Somerville MA)"	"Yes"	""	""	"A little bit"	""	"N/A, no clinical experience including CCE"	""	"Extremely helpful"	""
"44047.677777777775"	"44047.679861111108"	"100"	"171"	"1"	"44047.679861111108"	"R_1Sq0OFpAJyEfHbj"	"anonymous"	"EN"	"I consent"	"5348S"	"Yes"	">1 year"	"45720"	"21-30"	"Rural 2-10,000 population (e.g. Ada, Sheffield Village, Loudinville)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"iScribeMD"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Promedica Fostoria Community Hospital (and some other Promedica ED's on occasion)"	"Yes"	""	""	"Not at all"	"I have not yet started classes! I truly believe it will be beneficial."	"N/A, no clinical experience including CCE"	""	"Very helpful"	""
"44047.689583333333"	"44047.690972222219"	"100"	"133"	"1"	"44047.690972222219"	"R_5oNEuohcgzf6Ge5"	"anonymous"	"EN"	"I consent"	"7016H"	"Yes"	"7-12 months"	"5 or more"	">40"	"Other (please describe)"	"6 months in urban area, 6 months in outer suburb"	"Middle"	""	"Specialty Surgery (please specify)"	"Transplant for 6 months, internal medicine for 6 months"	""	""	"Scribe America"	""	"University Hospitals, main campus,Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"LakeHealth "	"Yes"	""	""	"A little bit"	"Prior knowledge to medical terms and medications"	"A little bit"	""	"Very helpful"	""
"44047.698611111111"	"44047.701388888891"	"100"	"257"	"1"	"44047.701388888891"	"R_3KvFyGnDNrPnl4I"	"anonymous"	"EN"	"I consent"	"6913 N"	"Yes"	">1 year"	"0-2"	"45981"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Mixed"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Aultman Hospital"	"Yes"	""	""	"Not at all"	"I will be starting medical school this year so I have completed any classes thus far."	"N/A, no clinical experience including CCE"	""	"Extremely helpful"	""
"44047.75277777778"	"44047.753472222219"	"100"	"45"	"1"	"44047.753472222219"	"R_1DSderfUVSPDhcn"	"anonymous"	"EN"	"I consent"	"6623M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44048.357638888891"	"44048.35833333333"	"100"	"61"	"1"	"44048.35833333333"	"R_3QQxrondYjI2RuK"	"anonymous"	"EN"	"I consent"	"5841H"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
